"sample","Date_num","lat","long","PA24d","POGly","POMet","PasHay24d","PasHayClo","PasHayFlu","PasHayGly","PasHayMcpa","PasHayMet","PO24d_l","POGly_l","POMet_l","PasHay24d_l","PasHayClo_l","PasHayFlu_l","PasHayGly_l","PasHayMcpa_l","PasHayMet_l","AvgT_R","AvgT_G","AvgT_B","SMaPercSat","SMaPercSatU","SMcVSM","SMcVSMU","SMpVSM","SMpVSMU","S1CRDH_VH","S1CRDH_VV","S1CRDM_HH","S1CRDM_HV","S2L2AB01","S3OLCI681","S3OLCI685","AI335","AI335P","AI340","AI340P","AI354","AI354P","AImH","AImHP","AImP","AImPP","CH4bcorrmr","CH4mr","CH4mrP","CLgCBH","CLgCBHP","CLgCBP","CLgCBPP","CLgCF","CLgCFP","CLgCOT","CLgCOTP","CLgCTH","CLgCTHP","CLgCTP","CLgCTPP","COtccorr","COtc","COtcP","HCOHgFVC","HCOHgFVCP","NO2gAMF","NO2gAMFtrop","NO2gAMFtc","NO2gAMFtcp","NO2gAMFtcpk","O3gOVC","O3gOVCP","SO2gVC","SO2gVCP","TotalPrecipitation","ERA5windU","ERA5windV","ERA5_2mdt","ERA5mslp","ERA5_2mt","ERA5sp","ERA5totp","ERA5strd","ERA5max2mt","ERA5min2mt","ERA5st1","ERA5st2","ERA5st3","ERA5st4","ERA5vswl1","ERA5vswl2","ERA5hvc","ERA5hLAI","ERA5lLAI","ERA5skint","mERA5windU","mERA5windV","mERA5_2mdt","mERA5mslp","mERA5_2mt","mERA5sp","mERA5totp","mERA5ssrd","mERA5strd","mERA5snow_rate","mERA5snow","mERA5stl1","mERA5stl2","mERA5stl3","mERA5stl4","mERA5vswl1","mERA5vswl2","mERA5hLAI","mERA5lLAI","mERA5lvc","mERA5skint","mERA5snowD","SMaDNF","SMaF","SMaSmode","SMaSens","SMatO","SMcDNF","SMcF","SMcFBI","SMcSmode","SMcSens","SMctO","SMpDNF","SMpF","SMpfID","SMpSmode","SMptO","NO2gTLI","ERA5prect","ERA5stype","ERA5lvg","mERA5stype","mERA5hvc","Bio_1","Bio_2","Bio_3","Bio_4","Bio_5","Bio_6","Bio_7","Bio_8","Bio_9","Bio_10","Bio_11","Bio_12","Bio_13","Bio_14","Bio_15","Bio_16","Bio_17","Bio_18","Bio_19"
"AT_Kar_See_1_2016-08-01",17014,46.8136889,13.50794792,0.213222,0.7251205,6.77585e-09,0.02027933,0.0001737095,0.0002616448,0.02186537,0.001080498,0.0001612687,0.2008529,0.6485083,6.77585e-09,0.01219062,4.428811e-05,0.000152329,0.01092966,0.000830259,7.680235e-05,214,0,41,79.64587,8.520047,0.3156379,0.01483423,0.33495420939051,0.0583704781516725,100,217,600.428026653371,252.856913356101,2963.48692034111,3729.80815922981,20178.2878062237,-1.011277,0.03746117,-1.156569,1.908079,-1.045096,1.888433,691.607043080865,3.49101965564114,94161.1331645122,37.7231100049641,1878.37354837936,1867.7174593471,2.37966972371408,2256.328,76.46671,76736.21,2.135561,0.8924376,3.163129e-07,17.72198,1.005931,3256.328,76.46671,67077.6,3.082038,0.02525101,0.02434614,0.0006432012,1.786452e-05,2.408288e-05,1.967692,0.8328971,5.16599e-05,2.516927e-05,2.295087e-05,0.150463,0.0005722038,0.001179457,0.0006611707,2.38538637898078e-05,0.30735075,-0.9862331,284.0149,101624.875,284.9956,86438.19,8.258518e-06,1143635,284.33862,283.87524,286.6726,287.79224,286.0017,282.17773,0.33688325,0.3094446,0.8104248,4.237362,2.544468,283.80054,0.07008928,-0.45282906,283.07715,102078.06,287.49756,86822.69,0.0043346025,17826100,27853530,1.288332e-06,0.00011133432,286.3806,285.99585,285.23706,283.0835,0.34842032,0.34234643,4.129285,2.5130768,0.18427134,286.60645,0.0001239011,2,0,1,768,17013.8298611115,2,0,2,1,768,17013.829861111,0,0,16,1,-3440586.5,14,1,2,0.18427134,2,0.8104248,8.10500049591064,10.8959999084473,34.9589309692383,763.913635253906,24.5400009155273,-6.62799978256226,31.1680011749268,17.3833332061768,0.45399996638298,17.3833332061768,-1.36799991130829,1308,157,55,29.2685699462891,437,202,437,204
"AT_Wie_Gro_1_2012-08-03",15555,48.2,16.37,0.2522064,0.8303643,6.77585e-09,0.0301719,0.0005451626,0.0005237429,0.03059843,0.001322856,0.0005315707,0.2360207,0.7603697,6.77585e-09,0.01961039,0.0003912594,0.000369106,0.01922973,0.001094431,0.0003941946,234,46,0,29.52139,14.47104,0.2731031,0.006615101,0.3553489,0.06249154,115,175,600.428010886171,252.856906713749,5217.48154650183,4249.25592246751,20178.7396513681,-0.4528198,0.03689695,0.1064456,1.949914,0.1169886,1.891364,797.617884020706,4.02294955990693,92988.0787317455,43.1355719171093,1869.81908779274,1858.26260974581,2.76815026347665,2969.03,315.1949,69414.24,11.58327,0.9347158,4.983499e-05,45.15705,1.097353,3969.03,315.1949,60463.64,15.48464,0.02531033,0.02876198,0.0006950482,-9.946512e-06,1.456237e-05,1.556495,0.3912518,1.597154e-06,4.903537e-05,4.903433e-05,0.1495194,0.0005485065,0.004250862,0.004497966,0.000234722019691685,0.45450133,1.4076891,290.06104,101373.25,294.25513,98423.5,0,1293856,294.85962,294.33765,293.75903,295.64648,292.84692,289.5127,0.24666262,0.26644456,0.15063477,2.5158463,2.6513033,290.95752,1.123354,-0.6642059,286.66382,101655.69,294.36865,98682.375,0.0011390629,18952438,30738940,0,0,294.87695,294.74658,293.39038,290.43335,0.19834173,0.20765555,2.4850016,2.5646038,0.77810705,295.06055,0,2,0,1,256,15554.798611111,2,0,19,3,288,15555.0562540004,2,0,1,1,15555.1986467894,13,0,2,0.77810705,2,0.15063477,10.3666667938232,8.64266681671143,30.1180191040039,758.241149902344,26.1520004272461,-2.54399991035461,28.6960010528564,18.1420001983643,1.09733331203461,19.7679996490479,1.09733331203461,595,73,31,28.2672061920166,208,102,204,102
"AT_Wie_Gro_1_2012-10-20",15633,48.2,16.37,0.2522064,0.8303643,6.77585e-09,0.0301719,0.0005451626,0.0005237429,0.03059843,0.001322856,0.0005315707,0.2360207,0.7603697,6.77585e-09,0.01961039,0.0003912594,0.000369106,0.01922973,0.001094431,0.0003941946,152,8,151,43.94146,14.47104,0.2996261,0.008614257,0.3553489,0.06249154,115,175,600.428010886171,252.856906713749,5217.48154650183,4249.25592246751,20178.7396513681,-0.4528198,0.03689695,0.1064456,1.949914,0.1169886,1.891364,797.617884020706,4.02294955990693,92988.0787317455,43.1355719171093,1869.81908779274,1858.26260974581,2.76815026347665,2969.03,315.1949,69414.24,11.58327,0.9347158,4.983499e-05,45.15705,1.097353,3969.03,315.1949,60463.64,15.48464,0.02531033,0.02876198,0.0006950482,-9.946512e-06,1.456237e-05,1.556495,0.3912518,1.597154e-06,4.903537e-05,4.903433e-05,0.1495194,0.0005485065,0.004250862,0.004497966,0.000234722019691685,0.3880267,-0.5228814,280.64087,101817.19,280.74805,98786.875,0,1087930,282.36353,280.90576,282.39844,284.8545,286.50977,290.19067,0.32899296,0.32418233,0.15063477,2.1962519,1.9615335,280.74683,0.5188745,0.006434284,279.8545,101425.69,283.13696,98377.81,0.0019825657,7797311,27177790,3.2016706e-06,0.00027677673,283.84595,284.98535,287.2932,290.3855,0.31603062,0.2964242,2.217288,2.001546,0.77810705,283.19482,0.00027003,2,0,1,256,15632.7916666665,2,0,18,3,288,15632.9615485361,0,0,16,1,-3440586.5,13,1,2,0.77810705,2,0.15063477,10.3666667938232,8.64266681671143,30.1180191040039,758.241149902344,26.1520004272461,-2.54399991035461,28.6960010528564,18.1420001983643,1.09733331203461,19.7679996490479,1.09733331203461,595,73,31,28.2672061920166,208,102,204,102
"BY_Bre_Bre_1_2015-09-11",16689,52.142193,23.662434,0.02021443,0.06649527,1e-09,0.001647688,2.98588e-05,2.80032e-05,0.001760971,8.710382e-05,2.184528e-05,0.01915712,0.06192295,1e-09,0.0009577692,2.18208e-05,1.790171e-05,0.001018323,7.218223e-05,1.176549e-05,240,95,0,40.11338,10.15781,0.2065038,0.01219621,0.274080360009399,0.0506516850353717,125,182,600.427647396844,252.856753584202,2689,6205,17694,0.6078262,0.03415267,-1.198492,2.903603,-0.8460065,2.958101,802.496871062949,3.80294397267513,92884.2563327778,40.6435477312079,1863.67512407352,1852.73945125507,2.93854536562652,5069.71,17.35313,50788.36,1.088926,0.4764867,3.77306e-06,2.760562,1.007963,6069.71,17.35313,43959.17,1.303716,0.0284577,0.0324838,0.0006754643,-5.123806e-05,2.103183e-05,2.280929,1.171454,3.054706e-07,1.577324e-05,1.577312e-05,0.1475955,0.0008013322,-0.00624124,0.003346298,3.14871002025444e-05,-4.0859766,0.20335937,280.3108,102931.875,282.9807,101144.19,0,1039793,284.615,284.30908,284.14575,287.6631,289.6543,290.6162,0.19146818,0.13087136,0.051849365,2.8155527,1.8794079,282.80713,-0.14412558,0.030144874,283.8147,101729.75,288.02075,99976.75,0.0031223197,10257300,29478428,0,0,288.55518,289.43628,290.29883,290.4536,0.20486796,0.1469652,2.8030252,1.8164978,0.9458965,288.42163,0,2,0,1,256,16688.826388889,2,0,18,3,288,16688.9435563013,0,0,16,1,-3440586.5,13,0,1,0.9458965,1,0.051849365,7.54616689682007,8.18966674804688,28.0544891357422,809.523742675781,23.2360000610352,-5.95599985122681,29.1919994354248,17.3013324737549,-1.50199997425079,17.3013324737549,-2.5293333530426,565,78,28,35.3103065490723,213,86,213,97
"CH_Vau_Vul_1_2018-09-18",17792,46.93947,7.05332,0.1455617,0.6708248,6.309441e-09,0.02546261,0.0002056925,0.000531617,0.02826508,0.0006572388,0.0002347514,0.1346042,0.5948645,6.309441e-09,0.0174463,0.000139726,0.0003831752,0.01815122,0.0005143501,0.0001459099,237,62,0,41.2375,19.24988,0.2145088,0.02064559,0.48,0.01131239,81,185,600.428029218519,252.856914436738,4361.77922981272,2945,24431,-0.5707769,0.04216831,-2.233741,2.678114,-1.726007,2.703647,376.28886422874,1.9987577169333,97648.7937150949,22.479762836676,1882.347,1873.041,2.590025,2605.32,139.1022,74275.02,4.485725,0.4039559,7.25203e-10,6.736553,1.000361,3605.32,139.1022,64990.65,6.207481,0.02649974,0.02965943,0.0008634303,0.0001226639,0.0001343528,1.840225,0.7261116,3.100395e-05,2.509101e-05,2.431273e-05,0.1397088,0.0007482181,-0.00031244,0.001998654,2.67163274445849e-05,0.47101593,1.2493763,285.69214,101796.56,287.43018,93059.625,0,1169653,289.61768,288.7837,286.7566,290.39697,289.76294,289.3828,0.30096102,0.27784717,0.93914795,3.0049057,3.0261335,286.38965,-0.13196719,-0.23633045,283.47632,102149,288.6609,93318.25,0.0020870846,15035883,28330176,0,0,288.47266,288.8208,289.3474,289.386,0.3252691,0.2871225,2.9861584,3.024683,0.027043462,288.771,0,3,0,3,768,17792.114583333,3,0,19,3,800,17792.1325896224,2,0,1,1,17792.2136405194,15,0,2,0.027043462,2,0.93914795,9.3546667098999,8.52400016784668,32.9825096130371,652.930480957031,23.7840003967285,-2.05999994277954,25.8439998626709,17.5,2.66400003433228,17.5,1.51200008392334,911,94,55,18.2306900024414,276,175,276,181
"CH_Vau_Vul_1_2019-07-17",18094,46.93947,7.05332,0.1455617,0.6708248,6.309441e-09,0.02546261,0.0002056925,0.000531617,0.02826508,0.0006572388,0.0002347514,0.1346042,0.5948645,6.309441e-09,0.0174463,0.000139726,0.0003831752,0.01815122,0.0005143501,0.0001459099,237,62,0,43.18202,19.24988,0.2181118,0.02653028,0.48,0.01131239,81,185,600.428029218519,252.856914436738,4361.77922981272,2945,24431,-0.5707769,0.04216831,-1.566439,2.167025,-1.245597,2.24632,376.28886422874,1.9987577169333,97648.7937150949,22.479762836676,1882.347,1873.041,2.590025,6837.246,349.0969,43016.22,29.54368,0.1693432,1.005243e-07,5.518934,1.000503,7837.246,349.0969,37428.91,33.86467,0.02649974,0.03209166,0.001057435,-7.531018e-05,0.00017281,2.212663,1.10399,2.838425e-05,1.129903e-05,9.76941e-06,0.1522305,0.0005758565,0.000850491,0.0004543132,2.67163274445849e-05,-0.23684484,-0.66895086,284.5476,101614.375,288.10767,92879.375,0,1129686,290.45923,289.5515,286.18506,290.31372,288.6914,284.91772,0.33104616,0.30622983,0.93914795,3.3204107,3.0517874,285.81152,0.003433438,-0.5101683,286.08447,101583.44,293.0127,92861,0.0035226822,21910664,30010970,0,0,292.59058,292.021,290.00903,284.79785,0.31956422,0.29512298,3.3327532,3.0529394,0.027043462,292.85107,0,3,0,3,768,18094.111111111,3,0,18,3,800,18094.085487043,2,16,16,1,-3440586.5,16,0,2,0.027043462,2,0.93914795,9.3546667098999,8.52400016784668,32.9825096130371,652.930480957031,23.7840003967285,-2.05999994277954,25.8439998626709,17.5,2.66400003433228,17.5,1.51200008392334,911,94,55,18.2306900024414,276,175,276,181
"CH_Vau_Vul_1_2020-09-15",18520,46.93947,7.05332,0.1455617,0.6708248,6.309441e-09,0.02546261,0.0002056925,0.000531617,0.02826508,0.0006572388,0.0002347514,0.1346042,0.5948645,6.309441e-09,0.0174463,0.000139726,0.0003831752,0.01815122,0.0005143501,0.0001459099,237,62,0,99.74019,19.24988,0.2163103,0.023587935,0.48,0.01131239,81,185,600.428029218519,252.856914436738,4361.77922981272,2945,24431,-0.5707769,0.04216831,-2.094421,2.303952,-1.611647,2.407765,376.28886422874,1.9987577169333,97648.7937150949,22.479762836676,1882.347,1873.041,2.590025,498.3567,297.8661,96294.27,1.837379,0.1838126,4.191714e-08,14.47615,1.000673,498.3567,297.8661,96294.27,1.837379,0.02649974,0.03130437,0.0008741698,0.0001245727,0.0001129626,2.61753,1.605454,2.987745e-05,1.049065e-05,8.622486e-06,0.1254161,0.000580253,-0.0001642563,0.0001868664,2.67163274445849e-05,0.88672364,0.7831922,287.3816,102344.25,289.44946,93588.19,0,1178667,291.3567,290.72534,287.94458,291.2622,289.10425,288.47583,0.28656214,0.30804354,0.93914795,3.0833664,3.032117,287.75024,0.16891766,0.17515814,284.10303,101774.125,288.0017,92958.375,0.0025237696,14183706,28541378,1.5886616e-07,1.3749144e-05,287.8933,288.26953,288.79126,288.54224,0.33964628,0.33688325,2.9861584,3.024683,0.027043462,288.1172,6.9323414e-06,2,0,1,768,18261.107638889,2,0,18,1,800,-3440586.5,2,0,16,1,-3440586.5,16,0,2,0.027043462,2,0.93914795,9.3546667098999,8.52400016784668,32.9825096130371,652.930480957031,23.7840003967285,-2.05999994277954,25.8439998626709,17.5,2.66400003433228,17.5,1.51200008392334,911,94,55,18.2306900024414,276,175,276,181
"DE_Bad_Bro_1_2014-06-26",16247,48.218024,7.819513,0.3847652,1.267783,1.021748e-08,0.05118088,0.0007199392,0.0008309619,0.04780437,0.001902654,0.0006822376,0.3603583,1.15203,1.021748e-08,0.03525491,0.0004878645,0.0005977807,0.03066121,0.001558207,0.0004750847,235,49,0,24.96926,5.279799,0.2490134,0.01067226,0.449999991778105,0.0845160503652716,94.0000138926783,105.000083464137,600.42802922168,252.85691443807,4691.06964339167,1758,12695,-0.6796097,0.04200593,-1.647157,2.800893,-1.081895,2.746137,456.628185598415,2.14203698069142,96783.8001543533,24.2614997366367,1870.61800233401,1844.29000578807,2.7909749442668,1684.772,607.8094,83707.72,12.67494,0.3118294,6.613299e-07,16.69728,1.010573,2684.772,607.8094,73397.26,20.19818,0.0247794,0.0332122,0.0008627849,2.182153e-06,1.516006e-05,1.865036,1.102561,2.989459e-05,1.806933e-05,1.705148e-05,0.1457748,0.0007952373,0.003488923,0.000791853,4.67535730280209e-05,-1.2725248,-0.82974386,276.02734,101459.375,284.44604,97454.125,0,1021881.9,286.2649,285.562,287.8745,292.88354,290.9895,285.7942,0.22529435,0.19602728,0.3507161,2.8501768,3.1178093,285.02148,-0.22662276,-0.9303953,282.136,101626,292.39062,97645.06,0.0012247555,23552404,29063484,0,0,293.2976,292.4917,289.72388,284.66772,0.23629397,0.22443932,2.8139734,3.0741796,0.6492839,293.84595,0,2,0,1,256,16246.861111111,2,0,18,3,288,16246.9655169337,0,0,16,1,-3440586.5,15,0,4,0.6492839,4,0.3507161,10.4093332290649,8.2993335723877,32.9286346435547,649.354553222656,24.4360008239746,-0.76800000667572,25.2040004730225,16.9033336639404,3.76999998092651,18.513334274292,2.54933333396912,976,104,66,16.3308563232422,301,198,278,217
"DE_Bad_Bro_1_2014-10-15",16358,48.218024,7.819513,0.3847652,1.267783,1.021748e-08,0.05118088,0.0007199392,0.0008309619,0.04780437,0.001902654,0.0006822376,0.3603583,1.15203,1.021748e-08,0.03525491,0.0004878645,0.0005977807,0.03066121,0.001558207,0.0004750847,216,0,34,52.71069,5.279799,0.296146,0.01067226,0.449999991778105,0.0845160503652716,94.0000138926783,105.000083464137,600.42802922168,252.85691443807,4691.06964339167,1758,12695,-0.6796097,0.04200593,-1.647157,2.800893,-1.081895,2.746137,456.628185598415,2.14203698069142,96783.8001543533,24.2614997366367,1870.61800233401,1844.29000578807,2.7909749442668,1684.772,607.8094,83707.72,12.67494,0.3118294,6.613299e-07,16.69728,1.010573,2684.772,607.8094,73397.26,20.19818,0.0247794,0.0332122,0.0008627849,2.182153e-06,1.516006e-05,1.865036,1.102561,2.989459e-05,1.806933e-05,1.705148e-05,0.1457748,0.0007952373,0.003488923,0.000791853,4.67535730280209e-05,0.29565084,1.0597982,284.51587,100928.625,285.22876,96952.19,0.00013786208,1240506,284.93872,284.687,285.9995,287.85938,288.77612,289.28662,0.4009552,0.39906025,0.3507161,2.0944376,2.501689,283.74023,0.15113956,1.013669,283.76245,101745.31,286.43945,97719.5,0.0023455035,8480705,28293888,3.8183288e-09,3.054663e-07,286.54224,286.95215,288.04004,289.2107,0.39525455,0.38853157,2.117114,2.5214033,0.6492839,286.1914,1.0996782e-06,2,0,1,256,16357.861111111,2,0,18,3,288,16357.9501770102,0,0,16,1,-3440586.5,15,1,4,0.6492839,4,0.3507161,10.4093332290649,8.2993335723877,32.9286346435547,649.354553222656,24.4360008239746,-0.76800000667572,25.2040004730225,16.9033336639404,3.76999998092651,18.513334274292,2.54933333396912,976,104,66,16.3308563232422,301,198,278,217
"DE_Bad_Bro_1_2015-06-30",16616,48.218,7.82,0.3847652,1.267783,1.021748e-08,0.05118088,0.0007199392,0.0008309619,0.04780437,0.001902654,0.0006822376,0.3603583,1.15203,1.021748e-08,0.03525491,0.0004878645,0.0005977807,0.03066121,0.001558207,0.0004750847,240,102,0,38.39223,5.279799,0.2757584,0.01067226,0.449999981736641,0.0845160386039753,94.0000236724785,105.000142203993,600.42802922168,252.85691443807,4691.06964342569,1758,12695,-0.6796097,0.04200593,-1.647157,2.800893,-1.081895,2.746137,456.628175469353,2.14203696711535,96783.800262914,24.2614995514427,1870.61800397586,1844.29000985972,2.79097490505907,1684.772,607.8094,83707.72,12.67494,0.3118294,6.613299e-07,16.69728,1.010573,2684.772,607.8094,73397.26,20.19818,0.0247794,0.0332122,0.0008627849,2.182153e-06,1.516006e-05,1.865036,1.102561,2.989459e-05,1.806933e-05,1.705148e-05,0.1457748,0.0007952373,0.003488923,0.000791853,4.67535730280209e-05,-1.9737864,-1.0892467,285.64746,102062.19,290.3557,98082,0,1225511,291.59863,291.0691,290.4026,292.6963,288.69946,284.86108,0.27138656,0.2657712,0.3507161,2.861165,3.1332006,288.8142,0.015795715,-0.5480587,285.08008,101867.75,291.5039,97867.5,0.0016582916,19880888,29954416,0,0,291.1831,290.25342,287.90967,283.64526,0.3114336,0.30013132,2.814928,3.0747004,0.6492839,291.6194,0,1,0,2,256,16616.409722222,1,16,2,2,256,-3440586.5,0,0,16,1,-3440586.5,15,0,4,0.6492839,4,0.3507161,10.4093332290649,8.2993335723877,32.9286346435547,649.354553222656,24.4360008239746,-0.76800000667572,25.2040004730225,16.9033336639404,3.76999998092651,18.513334274292,2.54933333396912,976,104,66,16.3308563232422,301,198,278,217
