# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
128up	FBgn0010339	FBtr0087976	protein_coding	0	2	0	54	2	0	0	5	0	4	0	0	0	0	1	0	0	0	0	1	44
14-3-3epsilon	FBgn0020238	FBtr0083565	protein_coding	0	1	0	40	0	0	0	18	0	13	0	0	0	0	0	0	0	0	0	1	9
14-3-3epsilon	FBgn0020238	FBtr0083566	protein_coding	0	1	0	41	12	0	0	7	0	13	0	0	0	0	0	0	0	0	0	1	9
14-3-3epsilon	FBgn0020238	FBtr0083567	protein_coding	0	1	0	40	0	0	0	18	0	13	0	0	0	0	0	0	0	0	0	1	9
14-3-3epsilon	FBgn0020238	FBtr0083568	protein_coding	0	1	0	47	13	0	0	12	0	13	0	0	0	0	0	0	0	0	0	1	9
14-3-3zeta	FBgn0004907	FBtr0088412	protein_coding	0	6	0	55	10	0	1	5	0	24	0	0	0	0	0	0	0	0	0	6	15
14-3-3zeta	FBgn0004907	FBtr0088413	protein_coding	0	6	0	47	7	0	1	6	0	24	0	0	0	0	0	0	0	0	0	6	9
14-3-3zeta	FBgn0004907	FBtr0088414	protein_coding	0	3	0	52	10	0	1	5	0	27	0	0	0	0	0	0	0	0	0	3	9
14-3-3zeta	FBgn0004907	FBtr0088415	protein_coding	0	3	0	58	10	0	1	5	0	27	0	0	0	0	0	0	0	0	0	3	15
14-3-3zeta	FBgn0004907	FBtr0088416	protein_coding	0	3	2	54	7	0	1	6	0	25	2	0	0	0	0	0	0	0	0	3	15
14-3-3zeta	FBgn0004907	FBtr0088417	protein_coding	0	6	0	49	10	0	1	5	0	24	0	0	0	0	0	0	0	0	0	6	9
14-3-3zeta	FBgn0004907	FBtr0088418	protein_coding	0	6	0	55	10	0	1	5	0	24	0	0	0	0	0	0	0	0	0	6	15
14-3-3zeta	FBgn0004907	FBtr0088419	protein_coding	0	3	2	50	10	0	1	5	0	25	2	0	0	0	0	0	0	0	0	3	9
14-3-3zeta	FBgn0004907	FBtr0100182	protein_coding	0	6	0	46	0	0	1	12	0	24	0	0	0	0	0	0	0	0	0	6	9
14-3-3zeta	FBgn0004907	FBtr0100183	protein_coding	0	3	0	50	7	0	1	6	0	27	0	0	0	0	0	0	0	0	0	3	9
14-3-3zeta	FBgn0004907	FBtr0332916	protein_coding	0	3	0	44	10	0	1	5	0	18	0	0	0	0	0	0	0	0	0	3	10
14-3-3zeta	FBgn0004907	FBtr0332917	protein_coding	0	3	0	41	7	0	1	6	0	13	0	0	0	0	0	0	0	0	0	3	14
140up	FBgn0010340	FBtr0082909	protein_coding	0	2	1	63	1	0	0	15	0	0	1	0	0	0	1	0	0	0	0	1	47
140up	FBgn0010340	FBtr0337095	protein_coding	0	1	1	65	1	0	0	17	0	0	1	0	0	0	0	0	0	0	0	1	47
18w	FBgn0004364	FBtr0086309	protein_coding	0	3	0	132	0	0	4	49	0	0	0	0	0	0	0	0	0	0	0	3	79
26-29-p	FBgn0250848	FBtr0075766	protein_coding	0	6	1	52	0	0	7	4	0	4	1	0	0	0	0	0	0	0	0	6	37
2mit	FBgn0260793	FBtr0301436	protein_coding	0	1	4	253	38	1	14	47	0	139	4	0	0	0	0	0	0	0	0	0	15
2mit	FBgn0260793	FBtr0330143	protein_coding	0	1	4	253	38	1	14	47	0	139	4	0	0	0	0	0	0	0	0	0	15
2mit	FBgn0260793	FBtr0344729	protein_coding	0	0	4	109	0	0	0	51	0	12	4	0	0	0	0	0	0	0	0	0	46
2mit	FBgn0260793	FBtr0344730	protein_coding	0	0	4	116	24	0	0	34	0	12	4	0	0	0	0	0	0	0	0	0	46
312	FBgn0029514	FBtr0072680	protein_coding	0	0	0	32	12	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	1
312	FBgn0029514	FBtr0310160	protein_coding	0	0	0	32	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	1
5-HT1A	FBgn0004168	FBtr0086577	protein_coding	0	6	0	622	6	0	9	7	0	552	0	0	0	0	2	0	0	0	0	4	50
5-HT1A	FBgn0004168	FBtr0474126	protein_coding	0	6	0	622	6	0	9	7	0	552	0	0	0	0	2	0	0	0	0	4	50
5-HT1B	FBgn0263116	FBtr0086599	protein_coding	0	13	9	182	0	3	22	36	0	57	9	0	0	0	0	0	0	0	0	10	67
5-HT1B	FBgn0263116	FBtr0330055	protein_coding	0	13	9	185	0	3	22	39	0	57	9	0	0	0	0	0	0	0	0	10	67
5-HT1B	FBgn0263116	FBtr0330056	protein_coding	0	13	9	185	0	3	22	39	0	57	9	0	0	0	0	0	0	0	0	10	67
5-HT2A	FBgn0087012	FBtr0078854	protein_coding	0	0	0	16	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	1
5-HT2A	FBgn0087012	FBtr0078855	protein_coding	0	0	0	16	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	1
5-HT2A	FBgn0087012	FBtr0300474	protein_coding	0	0	0	16	0	0	1	1	0	13	0	0	0	0	0	0	0	0	0	0	1
5-HT2A	FBgn0087012	FBtr0339395	protein_coding	0	0	0	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3
5-HT2A	FBgn0087012	FBtr0339397	protein_coding	0	0	0	16	0	0	1	0	0	14	0	0	0	0	0	0	0	0	0	0	1
5-HT2B	FBgn0261929	FBtr0303603	protein_coding	0	0	0	225	0	0	1	33	0	167	0	0	0	0	0	0	0	0	0	0	24
5-HT2B	FBgn0261929	FBtr0330144	protein_coding	0	0	0	225	0	0	1	33	0	167	0	0	0	0	0	0	0	0	0	0	24
5-HT2B	FBgn0261929	FBtr0339322	protein_coding	0	0	0	232	21	0	1	19	0	167	0	0	0	0	0	0	0	0	0	0	24
5-HT7	FBgn0004573	FBtr0085746	protein_coding	0	3	0	575	0	3	10	80	0	425	0	0	0	0	0	0	0	0	0	0	60
